still_in_beta,bugs_solved_3_months,bugs_solved_6_months,bugs_solved_9_months,num_test_accounts_internal,time_needed_to_ship,num_test_accounts_external,min_installations_per_account,num_prod_installations,ready_for_enterprise,perf_dev_index,perf_qa_index,sev1_issues_outstanding,potential_prod_issue,ready_for_startups,ready_for_smb,sales_Q1,sales_Q2,sales_Q3,sales_Q4,saas_offering_available,customer_bought
No,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,No,0.78,0.93,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,24.0,48.0,72.0,1.0,8.0,0.0,13.0,26.0,No,0.46,0.5,0.0,No,No,No,15.0,31.0,64.0,107.0,Yes,No
Yes,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,No,0.95,0.9,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,150.0,270.0,390.0,17.0,2.0,0.0,48.0,68.0,No,0.8,0.62,0.0,No,No,No,31.0,73.0,77.0,77.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4950.0,No,0.91,0.98,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,No
No,5880.0,11280.0,16680.0,2700.0,8.0,0.0,1744.0,4807.0,No,1.0,1.0,0.0,No,No,No,918.0,4288.0,10603.0,17635.0,Yes,No
No,140.0,224.0,336.0,42.0,2.0,0.0,50.0,59.0,No,0.97,0.99,0.0,No,No,No,43.0,119.0,202.0,266.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,1.0,14.0,No,0.46,0.5,0.0,No,Yes,No,9.0,14.0,29.0,45.0,Yes,No
Yes,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,No,0.47,0.51,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,No
No,3.0,6.0,9.0,0.0,8.0,0.0,4.0,2.0,No,1.0,1.0,0.0,No,No,No,1.0,2.0,5.0,6.0,Yes,No
No,0.0,0.0,0.0,0.0,,0.0,0.0,31.0,No,-99.0,-99.0,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,0.0,0.0,0.0,0.0,,0.0,0.0,20.0,No,-99.0,-99.0,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,No,0.77,0.91,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,4.0,4.0,0.0,2.0,0.0,0.0,5.0,No,0.62,0.62,0.0,No,No,No,1.0,1.0,1.0,1.0,Yes,No
Yes,0.0,0.0,0.0,0.0,12.0,0.0,1.0,13.0,No,0.48,0.48,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,0.0,0.0,0.0,0.0,8.0,0.0,0.0,17.0,No,1.0,1.0,0.0,No,No,No,2.0,6.0,16.0,27.0,Yes,No
No,0.0,0.0,0.0,0.0,,0.0,5.0,11.0,No,-99.0,-99.0,0.0,No,No,No,4.0,9.0,21.0,27.0,No,No
No,205.0,330.0,455.0,25.0,2.0,0.0,31.0,112.0,No,0.91,0.9,0.0,No,No,No,215.0,569.0,923.0,1384.0,Yes,No
No,0.0,0.0,0.0,0.0,4.0,0.0,4.0,556.0,No,0.0,0.0,0.0,No,No,No,1.0,2.0,3.0,3.0,Yes,No
No,5.0,50.0,92.0,0.0,2.0,0.0,26.0,58.0,No,0.8,0.75,0.0,No,No,No,24.0,85.0,210.0,274.0,Yes,No
No,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,No,0.9,0.89,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,16.0,0.0,1.0,31.0,No,0.63,0.66,0.0,No,No,No,4.0,15.0,26.0,37.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,No,0.78,0.79,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,32.0,60.0,70.0,30.0,4.0,0.0,0.0,0.0,No,0.78,0.73,0.0,No,No,No,3.0,12.0,18.0,18.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,1.0,18.0,No,0.82,0.81,0.0,No,No,No,1.0,1.0,1.0,1.0,Yes,No
No,0.0,0.0,4.0,0.0,8.0,0.0,0.0,10.0,No,0.78,0.89,0.0,No,No,No,0.0,1.0,5.0,9.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,No,0.79,0.82,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,522.0,1038.0,1650.0,78.0,2.0,0.0,139.0,356.0,No,0.93,0.93,0.0,No,No,No,197.0,656.0,1516.0,2536.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,1.0,84.0,No,0.75,0.48,0.0,No,No,No,6.0,12.0,30.0,34.0,Yes,No
No,1571.0,2579.0,3652.0,12.0,2.0,0.0,503.0,537.0,No,0.9,0.94,144.0,No,No,No,567.0,1322.0,2237.0,3219.0,Yes,No
No,82.0,147.0,205.0,2.0,8.0,0.0,16.0,38.0,No,0.68,0.85,2.0,No,No,No,21.0,62.0,137.0,211.0,Yes,No
Yes,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,No,-99.0,-99.0,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,0.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,No,0.97,0.95,0.0,No,Yes,No,0.0,0.0,1.0,1.0,Yes,No
No,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,No,-99.0,-99.0,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,8600.0,16300.0,22800.0,1708.0,2.0,0.0,3340.0,3844.0,No,0.88,1.0,0.0,No,No,No,2786.0,7579.0,14635.0,23977.0,Yes,No
Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,No,0.0,0.0,0.0,No,Yes,No,0.0,2.0,4.0,4.0,Yes,No
No,0.0,0.0,0.0,0.0,,0.0,3.0,5.0,No,-99.0,-99.0,0.0,No,No,No,0.0,2.0,6.0,6.0,No,No
No,0.0,27.0,51.0,0.0,12.0,0.0,7.0,45.0,No,0.65,0.75,0.0,No,No,No,2.0,20.0,58.0,92.0,Yes,No
No,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,No,0.83,1.0,0.0,No,No,No,0.0,0.0,1.0,1.0,Yes,No
Yes,8.0,8.0,8.0,0.0,9.0,0.0,0.0,0.0,No,0.78,0.93,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,1.0,1.0,2.0,0.0,8.0,0.0,0.0,1.0,No,0.96,0.96,0.0,No,No,No,1.0,1.0,1.0,1.0,Yes,No
No,15.0,30.0,50.0,0.0,2.0,0.0,2.0,19.0,No,0.92,0.98,0.0,No,No,No,5.0,12.0,25.0,38.0,Yes,No
Yes,0.0,0.0,0.0,0.0,4.0,0.0,1.0,22.0,No,0.81,0.91,0.0,No,No,No,0.0,21.0,24.0,24.0,Yes,No
No,5.0,8.0,8.0,0.0,2.0,0.0,1.0,0.0,No,0.93,0.85,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,14.0,42.0,70.0,0.0,8.0,0.0,10.0,24.0,No,0.91,0.86,0.0,No,No,No,5.0,15.0,35.0,60.0,Yes,No
No,3.0,5.0,6.0,0.0,4.0,0.0,0.0,3.0,No,0.78,0.73,0.0,No,No,No,1.0,3.0,4.0,5.0,Yes,No
Yes,28.0,28.0,28.0,0.0,2.0,0.0,2.0,0.0,No,0.82,0.94,0.0,Yes,Yes,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,1.0,172.0,No,0.98,0.98,0.0,No,Yes,No,5.0,18.0,28.0,46.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,No,0.79,0.82,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,7.0,14.0,14.0,0.0,2.0,0.0,0.0,6.0,No,0.99,0.99,0.0,No,Yes,No,2.0,7.0,7.0,7.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,1.0,56.0,No,0.93,0.88,0.0,No,No,No,8.0,15.0,28.0,36.0,Yes,No
No,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,No,0.66,0.7,0.0,No,No,No,0.0,0.0,2.0,2.0,Yes,No
No,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,No,0.99,0.99,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,60.0,120.0,180.0,24.0,16.0,0.0,43.0,42.0,No,0.62,0.61,0.0,No,No,No,21.0,76.0,131.0,200.0,Yes,No
No,2200.0,3686.0,4669.0,0.0,,0.0,0.0,2212.0,No,-99.0,-99.0,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,30.0,30.0,30.0,0.0,8.0,0.0,0.0,18.0,No,0.99,0.99,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,2016.0,4144.0,6832.0,399.0,2.0,0.0,648.0,1559.0,No,1.0,1.0,0.0,No,No,No,671.0,2483.0,5200.0,7805.0,Yes,No
Yes,0.0,0.0,0.0,0.0,,0.0,0.0,25.0,No,-99.0,-99.0,0.0,No,Yes,No,0.0,0.0,0.0,0.0,No,No
No,0.0,0.0,0.0,0.0,2.0,0.0,2.0,18.0,No,0.9,0.99,0.0,No,No,No,1.0,1.0,3.0,3.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3275.0,No,0.93,0.94,0.0,No,No,No,26.0,56.0,77.0,91.0,Yes,No
No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,No,0.0,0.0,0.0,No,Yes,No,4.0,13.0,25.0,43.0,No,No
No,0.0,327.0,327.0,23.0,8.0,0.0,71.0,450.0,No,0.98,0.98,0.0,No,No,No,60.0,199.0,395.0,561.0,Yes,No
No,0.0,0.0,10.0,0.0,8.0,0.0,1.0,7.0,No,0.89,0.84,0.0,No,No,No,3.0,4.0,9.0,9.0,Yes,No
Yes,0.0,0.0,0.0,0.0,52.0,0.0,0.0,17.0,No,-99.0,-99.0,0.0,No,Yes,No,0.0,0.0,1.0,1.0,No,No
No,0.0,0.0,0.0,0.0,16.0,0.0,25.0,53.0,No,0.62,0.62,0.0,No,No,No,2.0,7.0,12.0,31.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,No,0.79,0.73,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,30.0,0.0,4.0,0.0,0.0,39.0,No,0.89,0.86,0.0,No,No,No,2.0,10.0,15.0,23.0,Yes,No
No,0.0,0.0,6.0,0.0,4.0,0.0,1.0,15.0,No,0.88,0.86,0.0,No,No,No,1.0,2.0,11.0,15.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,170.0,No,0.94,0.96,0.0,No,No,No,0.0,0.0,3.0,4.0,Yes,No
No,0.0,8.0,8.0,0.0,8.0,0.0,0.0,8.0,No,0.95,0.9,0.0,No,No,No,0.0,4.0,9.0,12.0,Yes,No
Yes,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,No,0.78,0.78,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,1.0,8.0,0.0,18.0,179.0,No,0.94,0.99,0.0,No,No,No,22.0,58.0,116.0,162.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,2.0,35.0,No,0.94,0.97,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,125.0,400.0,65.0,12.0,0.0,92.0,851.0,No,0.74,0.93,0.0,No,No,No,140.0,388.0,986.0,1996.0,Yes,No
No,0.0,4.0,16.0,0.0,8.0,0.0,2.0,144.0,No,0.77,0.86,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,1.0,2.0,0.0,4.0,0.0,0.0,7.0,No,0.78,0.73,0.0,No,No,No,0.0,4.0,13.0,15.0,Yes,No
No,0.0,96.0,198.0,19.0,8.0,0.0,24.0,176.0,No,0.74,0.78,0.0,No,No,No,56.0,118.0,264.0,392.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,No,0.97,0.97,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,No,0.74,0.74,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,No,0.77,0.91,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,224.0,504.0,784.0,21.0,2.0,0.0,86.0,221.0,No,0.76,0.79,0.0,No,Yes,No,59.0,149.0,238.0,283.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2500.0,No,0.86,0.95,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,1.0,198.0,No,0.75,0.68,0.0,No,No,No,0.0,2.0,3.0,59.0,Yes,No
No,0.0,0.0,0.0,0.0,4.0,0.0,0.0,475.0,No,0.99,0.98,0.0,No,No,No,16.0,32.0,61.0,81.0,Yes,No
No,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,No,0.48,0.54,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,19.0,No,0.93,0.89,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,No,0.66,0.83,0.0,No,No,No,1.0,1.0,1.0,2.0,Yes,No
Yes,0.0,0.0,0.0,0.0,12.0,0.0,1.0,10.0,No,0.58,0.58,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,139.0,No,0.87,0.86,0.0,No,No,No,2.0,11.0,15.0,19.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,3.0,18.0,No,0.99,0.99,0.0,No,No,No,1.0,5.0,12.0,23.0,Yes,No
Yes,0.0,8.0,16.0,0.0,2.0,0.0,1.0,13.0,No,0.66,0.84,0.0,No,No,No,1.0,3.0,7.0,9.0,Yes,No
Yes,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,No,0.78,0.73,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4695.0,No,0.86,0.95,0.0,No,No,No,14.0,39.0,74.0,126.0,Yes,No
No,0.0,0.0,0.0,0.0,14.0,0.0,2.0,34.0,No,0.99,0.99,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,0.0,0.0,0.0,0.0,2.0,0.0,1.0,14.0,No,0.77,0.84,0.0,No,No,No,0.0,4.0,14.0,24.0,Yes,No
No,0.0,5.0,10.0,0.0,8.0,0.0,0.0,10.0,No,0.64,0.0,0.0,No,No,No,0.0,1.0,8.0,21.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,1.0,5.0,No,0.73,0.77,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,74.0,152.0,204.0,37.0,4.0,0.0,41.0,208.0,No,0.78,0.73,0.0,No,No,No,48.0,161.0,304.0,559.0,Yes,No
No,258.0,432.0,548.0,0.0,8.0,0.0,118.0,193.0,No,0.99,0.98,0.0,No,No,No,204.0,326.0,503.0,709.0,Yes,No
Yes,0.0,1.0,3.0,0.0,2.0,0.0,1.0,8.0,No,0.35,0.46,0.0,No,No,No,0.0,1.0,3.0,7.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,No,0.86,0.95,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1068.0,No,1.0,1.0,0.0,No,No,No,5.0,15.0,33.0,45.0,Yes,No
No,0.0,252.0,252.0,0.0,0.0,0.0,52.0,157.0,No,0.0,0.0,0.0,No,No,No,37.0,85.0,166.0,236.0,No,No
Yes,6.0,6.0,6.0,1.0,4.0,0.0,1.0,1.0,No,0.14,0.24,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,250.0,250.0,520.0,14.0,8.0,0.0,67.0,287.0,No,0.95,0.97,0.0,No,Yes,No,63.0,185.0,319.0,501.0,Yes,No
No,74.0,74.0,130.0,193.0,12.0,3.0,25.0,101.0,No,0.13,0.11,0.0,No,No,No,50.0,85.0,212.0,307.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,18.0,163.0,No,0.95,0.95,0.0,No,No,No,10.0,29.0,55.0,87.0,Yes,No
No,3630.0,5610.0,8085.0,705.0,2.0,0.0,544.0,458.0,No,0.95,0.9,0.0,No,No,No,984.0,3115.0,5134.0,7146.0,Yes,No
Yes,0.0,0.0,0.0,0.0,52.0,0.0,0.0,1.0,No,0.79,0.73,0.0,No,No,No,0.0,3.0,3.0,3.0,No,No
No,60.0,120.0,195.0,0.0,2.0,1.0,6.0,-1.0,No,0.72,0.75,0.0,No,No,No,5.0,17.0,35.0,43.0,Yes,No
No,0.0,0.0,0.0,0.0,28.0,0.0,15.0,596.0,No,1.0,1.0,0.0,No,No,No,2.0,25.0,140.0,199.0,Yes,No
No,4.0,5.0,9.0,0.0,12.0,0.0,0.0,4.0,No,0.69,0.66,0.0,No,No,No,0.0,3.0,3.0,4.0,Yes,No
Yes,50.0,50.0,50.0,0.0,12.0,0.0,2.0,7.0,No,0.26,0.27,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,500.0,No,0.86,0.96,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,312.0,848.0,1395.0,37.0,0.0,0.0,193.0,591.0,No,0.0,0.0,0.0,No,Yes,No,195.0,667.0,1169.0,1683.0,No,No
No,0.0,0.0,0.0,9.0,12.0,0.0,0.0,8.0,No,0.81,0.76,0.0,No,No,No,0.0,3.0,5.0,6.0,Yes,No
No,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,No,0.66,0.7,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,523.0,963.0,1278.0,765.0,8.0,0.0,84.0,573.0,No,0.0,0.0,30.0,No,No,No,212.0,712.0,1566.0,2483.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,No,0.92,1.0,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,No,0.78,0.78,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,1.0,9.0,No,0.45,0.46,0.0,No,No,No,1.0,1.0,1.0,3.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,319.0,No,-99.0,-99.0,0.0,No,No,No,1.0,1.0,2.0,3.0,No,No
Yes,5.0,8.0,8.0,0.0,2.0,0.0,0.0,0.0,No,0.35,0.46,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,2.0,9.0,No,0.99,0.99,0.0,No,Yes,No,0.0,0.0,0.0,1.0,Yes,No
No,0.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,No,0.92,0.97,0.0,No,No,No,0.0,1.0,1.0,1.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,No,0.09,0.13,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,350.0,350.0,0.0,8.0,0.0,24.0,133.0,No,0.99,0.98,0.0,No,No,No,18.0,50.0,113.0,183.0,Yes,No
No,55.0,115.0,190.0,15.0,8.0,0.0,18.0,49.0,No,0.97,0.98,4.0,No,No,No,13.0,48.0,129.0,176.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,40.0,No,0.97,0.99,0.0,No,No,No,0.0,0.0,2.0,2.0,Yes,No
No,0.0,0.0,0.0,0.0,12.0,0.0,2.0,605.0,No,0.76,0.73,0.0,No,No,No,0.0,3.0,3.0,3.0,Yes,No
Yes,52.0,64.0,100.0,5.0,8.0,0.0,4.0,14.0,No,0.46,0.42,0.0,No,No,No,11.0,29.0,47.0,57.0,Yes,No
No,112.0,224.0,320.0,9.0,8.0,0.0,42.0,106.0,No,0.95,0.89,0.0,No,No,No,38.0,118.0,223.0,340.0,Yes,No
Yes,5.0,5.0,5.0,10.0,4.0,0.0,0.0,0.0,No,0.15,0.22,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,No,0.8,0.77,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,3.0,77.0,No,1.0,1.0,0.0,No,No,No,2.0,10.0,13.0,19.0,Yes,No
No,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,No,0.78,0.73,0.0,No,No,No,1.0,2.0,5.0,7.0,Yes,No
Yes,0.0,0.0,0.0,0.0,2.0,0.0,0.0,858.0,No,0.86,1.0,0.0,No,No,No,0.0,0.0,1.0,4.0,Yes,No
Yes,0.0,0.0,0.0,0.0,,0.0,4.0,10.0,No,-99.0,-99.0,0.0,No,No,No,2.0,8.0,20.0,22.0,Yes,No
Yes,0.0,0.0,0.0,0.0,52.0,0.0,6.0,918.0,No,0.0,0.0,0.0,No,No,No,7.0,28.0,57.0,96.0,Yes,No
No,189.0,504.0,693.0,189.0,2.0,0.0,90.0,338.0,No,0.96,0.95,0.0,No,No,No,109.0,281.0,525.0,767.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,1.0,239.0,No,0.81,1.0,0.0,No,No,No,33.0,100.0,223.0,367.0,Yes,No
No,223.0,343.0,423.0,24.0,8.0,0.0,66.0,138.0,No,0.94,0.94,20.0,No,No,No,61.0,144.0,218.0,362.0,Yes,No
No,3.0,3.0,3.0,0.0,2.0,0.0,0.0,7.0,No,0.0,0.0,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,2.0,7.0,No,0.99,0.99,0.0,No,No,No,1.0,3.0,6.0,10.0,Yes,No
Yes,0.0,0.0,0.0,20.0,12.0,0.0,1.0,20.0,No,0.58,0.58,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,37.0,362.0,No,0.49,0.5,0.0,No,No,No,17.0,75.0,204.0,316.0,Yes,No
No,352.0,704.0,1056.0,122.0,2.0,0.0,131.0,365.0,No,1.0,1.0,0.0,No,No,No,135.0,430.0,781.0,1109.0,Yes,No
No,100.0,100.0,200.0,0.0,8.0,0.0,34.0,109.0,No,0.99,0.99,0.0,No,No,No,15.0,55.0,111.0,165.0,No,No
Yes,0.0,0.0,0.0,2.0,12.0,0.0,0.0,10.0,No,0.48,0.48,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,1.0,12.0,No,0.89,0.82,0.0,No,No,No,0.0,2.0,2.0,2.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,21.0,No,0.94,0.9,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,No,0.8,0.77,0.0,No,Yes,No,0.0,0.0,1.0,3.0,Yes,No
No,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,No,0.98,0.98,0.0,No,No,No,0.0,0.0,1.0,1.0,Yes,No
No,6.0,15.0,21.0,3.0,8.0,0.0,8.0,4.0,No,0.98,0.97,0.0,No,No,No,2.0,5.0,19.0,20.0,Yes,No
No,0.0,0.0,0.0,0.0,,0.0,0.0,4063.0,No,-99.0,-99.0,0.0,No,No,No,36.0,95.0,251.0,386.0,Yes,No
Yes,0.0,0.0,0.0,0.0,,0.0,10.0,35.0,No,-99.0,-99.0,0.0,No,No,No,0.0,0.0,1.0,1.0,Yes,No
Yes,0.0,0.0,0.0,0.0,2.0,0.0,0.0,136.0,No,0.95,0.9,0.0,No,No,No,3.0,20.0,35.0,100.0,Yes,No
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,No,0.69,0.83,0.0,No,No,No,0.0,0.0,20.0,20.0,Yes,No
No,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,No,0.75,0.78,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,349.0,1012.0,1333.0,586.0,2.0,0.0,166.0,703.0,No,0.99,1.0,0.0,No,No,No,152.0,580.0,1058.0,1577.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,11.0,1008.0,No,0.7,0.72,0.0,No,Yes,No,2.0,9.0,29.0,40.0,Yes,No
Yes,15.0,15.0,15.0,0.0,2.0,0.0,0.0,6.0,No,1.0,1.0,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,60.0,60.0,9.0,8.0,0.0,25.0,61.0,No,0.99,0.98,0.0,No,No,No,10.0,27.0,50.0,78.0,Yes,No
No,9.0,29.0,39.0,4.0,8.0,0.0,4.0,14.0,No,0.88,0.87,0.0,No,No,No,3.0,12.0,24.0,43.0,Yes,No
No,81.0,176.0,284.0,32.0,8.0,0.0,44.0,123.0,No,0.96,0.94,0.0,No,No,No,40.0,96.0,197.0,327.0,Yes,No
Yes,0.0,0.0,9.0,4.0,2.0,0.0,3.0,23.0,No,0.94,0.92,0.0,No,No,No,1.0,9.0,11.0,19.0,Yes,No
No,2.0,3.0,4.0,0.0,8.0,0.0,0.0,2.0,No,0.83,0.82,0.0,No,No,No,0.0,2.0,4.0,4.0,Yes,No
Yes,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,No,0.84,0.79,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,No,0.0,0.0,0.0,No,No,No,2.0,4.0,9.0,10.0,Yes,No
Yes,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,No,0.49,0.53,0.0,No,No,No,0.0,0.0,0.0,6.0,Yes,No
No,16.0,36.0,60.0,21.0,8.0,0.0,6.0,39.0,No,0.93,0.96,0.0,No,No,No,9.0,28.0,56.0,90.0,Yes,No
No,2000.0,4000.0,6000.0,577.0,2.0,0.0,495.0,2615.0,No,0.99,0.99,0.0,No,No,No,588.0,1904.0,3535.0,5005.0,Yes,No
No,0.0,0.0,0.0,0.0,9.0,0.0,1.0,11.0,No,0.9,0.93,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,12.0,21.0,26.0,0.0,2.0,0.0,0.0,0.0,No,0.89,0.95,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,55.0,No,0.5,0.19,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,55.0,No,0.46,0.43,0.0,No,No,No,0.0,2.0,4.0,16.0,Yes,No
Yes,888.0,1480.0,2163.0,796.0,2.0,0.0,195.0,598.0,No,1.0,1.0,0.0,No,No,No,122.0,327.0,512.0,572.0,Yes,No
Yes,0.0,0.0,0.0,0.0,12.0,0.0,2.0,3.0,No,0.78,0.78,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,No
Yes,6.0,9.0,10.0,0.0,2.0,0.0,1.0,0.0,No,0.71,0.69,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,No
